userId,movieId_1,movieId_2,movieId_3,movieId_4,movieId_5,rating,timestamp
7fdcecb392,1265,2628,6299,82459,134853,4.0,2016-03-12 22:10:24
7fdcecb392,1405,3301,4368,73060,128918,2.0,2016-03-12 22:10:42
7fdcecb392,165,1082,4745,5999,58661,3.0,2016-03-12 22:10:53
7fdcecb392,1258,1393,4963,33615,86345,4.0,2016-03-12 22:11:02
7fdcecb392,1422,3020,5445,8464,65802,3.0,2016-03-12 22:11:11
7fdcecb392,1584,2052,3429,4054,56805,3.0,2016-03-12 22:11:25
7fdcecb392,1088,3977,4776,55071,102922,3.0,2016-03-12 22:11:33
7fdcecb392,2529,4727,6266,6679,33600,3.0,2016-03-12 22:11:41
7fdcecb392,3082,4770,4871,6793,66097,3.0,2016-03-12 22:12:25
7fdcecb392,3081,3825,5267,5481,27660,3.0,2016-03-12 22:12:35
7fdcecb392,4027,4447,4958,5516,7414,3.0,2016-03-12 22:12:40
7fdcecb392,3034,4321,5072,6323,7361,3.5,2016-03-12 22:12:44
7fdcecb392,1967,2719,2953,6296,51935,3.0,2016-03-12 22:12:51
7fdcecb392,356,1610,4022,5541,45722,3.5,2016-03-12 22:13:01
7fdcecb392,1015,4155,5803,5903,131546,3.0,2016-03-12 22:13:09
7fdcecb392,1221,2640,3830,6670,60040,3.0,2016-03-12 22:13:15
7fdcecb392,1527,1884,3397,4954,5218,4.0,2016-03-12 22:13:18
7fdcecb392,1968,4232,4641,4815,63859,4.0,2016-03-12 22:13:24
7fdcecb392,4299,5109,6932,46530,102125,4.0,2016-03-12 22:13:31
7fdcecb392,180,3617,6541,26398,131548,2.0,2016-03-12 22:13:40
7fdcecb392,329,2393,4367,7173,41569,3.0,2016-03-12 22:13:46
7fdcecb392,1233,4254,5320,44974,91266,3.5,2016-03-12 22:14:07
7fdcecb392,60,1095,4733,8949,56152,4.0,2016-03-12 22:14:16
7fdcecb392,150,364,780,2155,4621,4.0,2016-03-12 22:14:21
7fdcecb392,1240,1356,2335,54272,120432,3.0,2016-03-12 22:14:29
7fdcecb392,541,1485,4223,4720,57504,4.0,2016-03-12 22:14:34
7fdcecb392,2533,4700,39292,46578,70286,4.0,2016-03-12 22:14:40
7fdcecb392,1036,1089,6539,7438,148761,4.0,2016-03-12 22:14:45
7fdcecb392,3624,5582,6839,7701,70293,3.0,2016-03-12 22:14:51
7fdcecb392,2541,3259,4867,30749,34072,4.0,2016-03-12 22:15:09
7fdcecb392,1371,1617,5010,6711,100008,5.0,2016-03-12 22:15:25
7fdcecb392,448,2926,4016,4775,8861,3.0,2016-03-12 22:15:38
7fdcecb392,4625,5574,7480,58295,74152,3.0,2016-03-12 22:15:42
7fdcecb392,107,2502,3107,6787,97779,4.0,2016-03-12 22:15:53
